marque,etat,annee,kilometrage,carburant,prix
Yamaha,Venant,2019,31000,Essence,2800000
Piaggio,Neuf,2020,Essence,Jante aluminium,1
BMW,D'occasion,2019,22000,Autre,2800000
Kymco,Venant,2021,Essence,Essence,1800000
Yamaha,D'occasion,2013,15000,Essence,2750000
CF Moto,D'occasion,2014,26000,Essence,3985000
Yamaha,Venant,2012,Essence,Essence,2200000
BMW,D'occasion,2018,87020,Radio AM/FM,2000000
KTM,D'occasion,2014,Essence,Essence,1500000
BMW,D'occasion,2017,22000,Jante aluminium,2000000
Ducati,Venant,2017,13000,"13,000 km",2500000
Yamaha,Venant,2022,25000,Essence,1680000
Honda,D'occasion,2018,28000,Essence,2700000
Zhongyu,Neuf,2024,Essence,Essence,350000
Kymco,Venant,2024,Essence,Essence,475000
SYM,Venant,2015,45000,Essence,550000
Yamaha,D'occasion,2017,9700,Essence,3500000
Arctic Cat,D'occasion,2014,8600,Essence,3500000
Neuf,2024,0 km,Essence,"Jante aluminium

Système de freinage antiblocage

Porte-bagages",1
Piaggio,Venant,2020,25000,"Jante aluminium

Marche pied",1100000
Yamaha,Neuf,2023,8000,Essence,4100000
TGB,Venant,2017,1000,"1,000 km",1600000
Autre,D'occasion,2020,73,Essence,1100000
Yamaha,Venant,2019,15800,Jante aluminium,1900000
BMW,Venant,2003,119000,Essence,1600000
Lifan,Neuf,2024,0,Système de freinage antiblocage,1
Autre,Neuf,2024,0,Porte-bagages,2500
Yamaha,D'occasion,2017,Essence,Essence,1800000
Gilera,D'occasion,2024,Essence,Essence,28
Yamaha,Neuf,2024,Essence,Essence,1700000
Honda,Neuf,2020,Essence,Essence,1
TVS Motor,Réconditionné,2023,Diesel,Diesel,850000
BMW,Venant,2022,17000,"17,000 km",5500000
BMW,Neuf,2023,6000,Jante aluminium,6000000
Harley Davidson,Neuf,2016,3000,Essence,5700000
Honda,D'occasion,2018,26000,"Feux de brouillard (avant)

Porte-bagages",3700000
Yamaha,Neuf,2024,Essence,Essence,1050000
Triumph,Neuf,2022,11800,Essence,6900000
Honda,D'occasion,2022,7900,Essence,4200000
SYM,Venant,2010,23897,Système de freinage antiblocage,450000
BMW,Réconditionné,2021,33900,Essence,3000000
Yamaha,Venant,2011,Essence,Essence,780000
Honda,Venant,2019,11000,Essence,1300000
